goals_per_game,goals_against_per_game,power_play_percentage,penalty_kill_percentage,shots_per_game,shots_allowed,shooting_pctg,save_pctg,failed_shots_per_game,saves_per_game,ties,power_play_efficiency,aboveAvgAdjWins
3.888,4.825,18.3,77.3,31.325,34.6625,12.4,86.1,27.4407,29.8444125,7,-0.04371584699453552,-11.5
3.938,3.4,22.8,81.0,30.3,27.7,13.0,87.7,26.361,24.2929,7,0.04178272980501393,13.5
4.388,4.363,25.9,77.9,32.4375,34.8875,13.5,87.5,28.0584375,30.526562500000004,8,0.0,3.0
3.325,5.188,20.9,71.0,28.5,32.85,11.7,84.2,25.1655,27.6597,6,-0.08465608465608465,-20.0
3.775,3.638,21.6,77.2,31.4375,32.25,12.0,88.7,27.665,28.60575,9,0.011049723756906077,1.5
4.425,3.938,24.3,76.2,34.5625,31.425,12.8,87.5,30.1385,27.496875,9,-0.023809523809523808,4.5
5.325,3.875,26.3,81.1,33.0625,34.725,16.1,88.8,27.739437499999998,30.835800000000003,7,0.003367003367003367,19.5
3.525,4.163,21.2,78.6,29.525,30.1875,11.9,86.2,26.011525,26.021625,13,0.04295942720763723,-10.5
3.55,4.863,17.5,71.9,30.3,32.625,11.7,85.1,26.7549,27.763875,8,-0.08629441624365482,-13.0
3.663,4.6,21.9,73.2,29.4625,33.6375,12.4,86.3,25.80915,29.0291625,6,-0.034666666666666665,-7.911764705882355
3.488,3.513,25.1,78.0,31.0125,27.8375,11.2,87.4,27.5391,24.329974999999997,12,0.0029850746268656717,1.088235294117645
3.838,4.038,19.9,81.1,30.9,31.9625,12.4,87.4,27.0684,27.935225,8,0.007957559681697613,-1.911764705882355
3.875,3.063,19.0,82.2,30.175,30.7125,12.8,90.0,26.3126,27.64125,8,-0.008379888268156424,10.088235294117645
3.713,3.625,20.9,76.1,30.325,29.45,12.2,87.7,26.62535,25.82765,12,0.005633802816901409,-3.911764705882355
3.763,3.45,19.6,81.5,30.0625,29.6,12.5,88.3,26.3046875,26.1368,7,0.017857142857142856,2.588235294117645
3.5,3.85,18.6,75.6,30.325,29.0625,11.5,86.8,26.837625,25.22625,8,-0.04918032786885246,-7.911764705882355
3.463,3.013,21.0,83.3,28.0,27.125,12.4,88.9,24.528,24.114125,10,0.050156739811912224,6.088235294117645
3.575,3.988,17.2,78.0,30.125,32.4375,11.9,87.7,26.540125,28.4476875,6,-0.06291390728476821,-4.911764705882355
3.563,3.475,19.2,80.9,28.425,29.525,12.5,88.2,24.871875,26.04105,10,0.02064896755162242,3.088235294117645
3.625,3.875,17.0,76.2,32.0125,33.875,11.3,88.6,28.395087500000002,30.01325,14,-0.08024691358024691,-3.911764705882355
3.25,3.425,20.5,78.6,27.175,28.8125,12.0,88.1,23.914,25.3838125,10,-0.011869436201780416,-0.911764705882355
3.513,3.663,24.6,81.4,29.3375,29.55,12.0,87.6,25.817,25.8858,15,0.06542056074766354,-0.41176470588235503
3.975,3.613,25.0,79.8,31.6,30.325,12.6,88.1,27.6184,26.716325,3,0.015625,7.588235294117645
4.65,3.55,22.4,80.0,29.4625,29.625,15.8,88.0,24.807425,26.07,6,-0.012779552715654952,13.088235294117645
3.525,3.925,23.3,75.9,29.725,28.5125,11.9,86.2,26.187725,24.577775,8,0.014204545454545454,-6.911764705882355
3.975,4.263,25.3,73.1,30.9125,31.125,12.9,86.3,26.9247875,26.860875,8,0.013020833333333334,-4.911764705882355
3.688,3.7,20.8,78.4,29.95,28.0,12.3,86.8,26.26615,24.304,6,-0.002079002079002079,-0.352941176470587
3.85,3.338,22.5,77.4,30.2125,31.6125,12.7,89.4,26.3755125,28.261575,10,-0.01808785529715762,2.647058823529413
3.75,3.538,22.6,80.6,31.7625,30.475,11.8,88.4,28.014525,26.9399,10,0.059063136456211814,-0.352941176470587
3.65,3.65,18.0,81.0,31.025,30.55,11.8,88.1,27.36405,26.914550000000002,9,-0.015184381778741865,1.147058823529413
3.988,3.95,22.2,76.4,31.3,31.05,12.7,87.3,27.3249,27.106650000000002,9,-0.01996007984031936,-0.852941176470587
3.75,3.138,16.6,83.5,32.4125,27.2,11.6,88.5,28.65265,24.072,6,0.008968609865470852,5.647058823529413
3.538,3.813,17.2,78.1,29.875,32.2125,11.8,88.2,26.34975,28.411424999999998,11,-0.034482758620689655,1.147058823529413
3.725,2.975,15.9,83.8,29.9625,28.775,12.4,89.7,26.247149999999998,25.811175,13,-0.0025188916876574307,10.147058823529413
3.413,4.313,15.6,77.9,30.1375,33.9875,11.3,87.3,26.731962499999998,29.6710875,10,-0.11239193083573487,-15.352941176470587
3.513,3.113,20.0,81.0,30.7625,27.825,11.4,88.8,27.255575,24.7086,9,0.04051172707889126,1.147058823529413
3.55,4.1,23.2,80.2,29.3375,35.675,12.1,88.5,25.7876625,31.572374999999997,9,0.007042253521126761,-6.852941176470587
4.025,3.363,18.8,83.9,28.1875,30.2375,14.3,88.9,24.1566875,26.8811375,11,-0.0026109660574412533,5.147058823529413
3.475,3.675,19.9,79.3,28.5625,30.3125,12.2,87.9,25.077875,26.6446875,8,-0.002421307506053269,-3.352941176470587
4.963,3.813,28.5,80.4,33.325,29.65,14.9,87.1,28.359575000000003,25.825149999999997,9,0.0391644908616188,11.147058823529413
4.538,3.6,21.9,80.8,29.2625,29.55,15.5,87.8,24.726812499999998,25.9449,11,0.004975124378109453,8.147058823529413
3.4,4.0,18.6,79.5,28.7625,30.4625,11.8,86.9,25.368524999999998,26.4719125,9,-0.004597701149425287,-11.852941176470587
3.975,4.488,21.7,77.4,30.75,32.1125,12.9,86.0,26.78325,27.616749999999996,8,0.014767932489451477,-7.352941176470587
3.513,4.063,18.3,75.4,31.2,29.8875,11.3,86.4,27.6744,25.8228,12,-0.06451612903225806,-8.352941176470587
3.313,4.063,22.5,73.6,30.3625,30.7875,10.9,86.8,27.0529875,26.72355,5,-0.047619047619047616,-10.852941176470587
3.875,3.838,18.6,77.0,34.0125,30.7125,11.4,87.5,30.135075000000004,26.873437499999998,8,0.0,-0.352941176470587
3.838,3.563,26.7,81.5,29.8625,30.55,12.9,88.3,26.0102375,26.97565,8,0.04904632152588556,-1.352941176470587
4.338,4.363,24.5,77.0,28.5125,35.7,15.2,87.8,24.1786,31.344600000000003,7,0.01646090534979424,2.147058823529413
3.613,3.2,19.9,82.0,31.375,26.75,11.5,88.0,27.766875,23.54,14,0.04205607476635514,2.647058823529413
3.638,3.738,20.5,79.0,27.9,29.725,13.0,87.4,24.273,25.97965,7,-0.02099737532808399,0.14705882352941302
3.938,2.725,21.0,82.2,30.85,26.5375,12.8,89.7,26.901200000000003,23.804137500000003,9,0.05774278215223097,16.147058823529413
3.238,4.275,16.7,72.7,27.0625,34.2875,12.0,87.5,23.815,30.001562500000002,6,-0.1253731343283582,-10.352941176470587
3.813,3.238,21.8,79.8,31.175,27.55,12.2,88.2,27.371650000000002,24.2991,10,0.05215419501133787,4.647058823529413
3.713,4.188,21.0,74.6,32.8625,31.4125,11.3,86.7,29.1490375,27.2346375,12,-0.07142857142857142,-8.352941176470587
3.913,3.95,20.7,81.5,28.6875,31.375,13.6,87.4,24.786,27.42175,12,-0.017045454545454544,-1.352941176470587
3.438,3.563,20.3,76.7,29.0875,28.0875,11.8,87.3,25.655175,24.5203875,12,-0.021621621621621623,-2.352941176470587
4.425,2.825,25.2,82.8,34.6375,25.7375,12.8,89.0,30.2039,22.906375,9,0.057356608478802994,17.147058823529413
4.063,3.825,19.8,82.8,27.8125,30.4,14.6,87.4,23.751875,26.569599999999998,8,0.011933174224343675,0.647058823529413
3.138,3.163,19.0,80.8,30.5375,28.275,10.3,88.8,27.3921375,25.1082,8,0.02926829268292683,-4.352941176470587
